athlete_name,date,event,location,distance,current_type,temp,field_size,place
Alex MEYER,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,1
Simone RUFFINI,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,2
Federico VANELLI,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,3
Diego VERA,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,4
Axel REYMOND,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,5
Damien CATTIN-VIDAL,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,6
Esteban ENDERICA SALGADO,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,7
Daniel DELGADILLO,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,8
Mario SANZULLO,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,9
Martin CARRIZO YUNGES,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,10
Erwin MALDONADO,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,11
Benjamin BRANTU,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,12
Guillermo BERTOLA,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,13
Ivan ENDERICA OCHOA,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,14
Christian REICHERT,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,15
Luis Fernardo BOLANOS ZULOAGA,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,16
Wilder CARRENO,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,17
Chip PETERSON,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,18
Juan Jose SEGOVIA RAMOS,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,19
Andrea BIANCHI,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,20
Santiago ENDERICA,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,21
Diogo VILLARINHO,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,22
Gabriel Raul VILLAGOIZ,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,23
Vitaliy KHUDYAKOV,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,24
Johndry SEGOVIA,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,25
Logan FONTAINE,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,26
Guillaume BOSCHER,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,27
Rafael GIL,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,28
Hugo RIBEIRO,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,29
Damian BLAUM,02/07/2016,FINA World Cup,"Viedma, ARG",10,Current,Neutral,39,30
